id,value
OSObject,
OSObject.OSBoolean,0
OSObject.OSCollection,
OSObject.OSCollection.OSArray,
OSObject.OSCollection.OSArray.AppleEmbeddedAudioGroup,0
OSObject.OSCollection.OSArray.H16ISPClientMappedSurfaceArray,0
OSObject.OSCollection.OSArray.H16ISPSharedMemorySurfaceParamArray,0
OSObject.OSCollection.OSArray.H16ISPMPMMemoryParamArray,0
OSObject.OSCollection.OSArray.IOAVElementArray,0
OSObject.OSCollection.OSArray.IOThunderboltArray,0
OSObject.OSCollection.OSDictionary,
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary,
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAConfigurationDictionary,0
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAControlDictionary,0
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAStreamDictionary,0
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAEndpointDictionary,
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAEndpointDictionary.AUAASEndpointDictionary,0
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAUnitDictionary,
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAUnitDictionary.AUAInputTerminalDictionary,0
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAUnitDictionary.AUAOutputTerminalDictionary,0
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAUnitDictionary.AUAMixerUnitDictionary,0
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAUnitDictionary.AUASelectorUnitDictionary,0
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAUnitDictionary.AUAEffectUnitDictionary,0
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAUnitDictionary.AUAProcessingUnitDictionary,0
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAUnitDictionary.AUAFeatureUnitDictionary,0
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAUnitDictionary.AUAExtensionUnitDictionary,0
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAUnitDictionary.AUAClockSourceDictionary,0
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAUnitDictionary.AUAClockSelectorDictionary,0
OSObject.OSCollection.OSDictionary.AppleUSBAudioDictionary.AUAUnitDictionary.AUAClockMultiplierDictionary,0
OSObject.OSCollection.OSDictionary.IOThunderboltDictionary,
OSObject.OSCollection.OSDictionary.IOThunderboltDictionary.IOThunderboltXDPropertiesDirectory,0
OSObject.OSCollection.OSOrderedSet,
OSObject.OSCollection.OSOrderedSet.IOPortTransportStateOrderedSet,0
OSObject.OSCollection.OSOrderedSet.OSOrderedSetEquality,0
OSObject.OSCollection.OSOrderedSet.IOConfigurationDescriptorOrderedSet,0
OSObject.OSCollection.OSSet,
OSObject.OSCollection.OSSet.IOAVValueSet,0
OSObject.OSCollection.OSSet.OSSetEquality,0
OSObject.OSCollection.OSSet.IOThunderboltSet,0
OSObject.OSCollection.AppleUSBSparseArray,0
OSObject.OSCollection.IOHIDElement,
OSObject.OSCollection.IOHIDElement.IOHIDElementPrivate,0
OSObject.OSData,
OSObject.OSData.IOThunderboltData,
OSObject.OSData.IOThunderboltData.IOThunderboltXDPropertiesLeafData,0
OSObject.OSIterator,
OSObject.OSIterator.OSCollectionIterator,0
OSObject.OSIterator.IORegistryIterator,0
OSObject.OSIterator._IOOpenServiceIterator,0
OSObject.OSIterator.IOUserIterator,
OSObject.OSIterator.IOUserIterator.IOUserNotification,
